source_name;target_name
mole_concentration_of_ammonium_in_seawater;t_nh4
mole_concentration_of_nitrate_in_seawater;t_no3
mole_concentration_of_phosphate_in_seawater;t_po4
mole_concentration_of_silicate_in_seawater;t_sil
mole_concentration_of_diatoms_expressed_as_nitrogen_in_seawater;t_lpp
mole_concentration_of_flagellates_expressed_as_nitrogen_in_seawater;t_spp
mole_concentration_of_cyanobacteria_expressed_as_nitrogen_in_seawater;t_cya
mole_concentration_of_zooplankton_expressed_as_nitrogen_in_seawater;t_zoo
mole_concentration_of_protozooplankton_expressed_as_nitrogen_in_seawater;t_pzoo
mole_concentration_of_detritus_expressed_as_nitrogen_in_seawater;t_det_1
mole_concentration_of_detritus_expressed_as_silicate_in_seawater;t_det_2
mole_concentration_of_labile_dissolved_organic_nitrogen_expressed_as_nitrogen_in_seawater;t_don
mole_concentration_of_oxygen_in_seawater;t_o2
mole_concentration_of_ammonium_from_anthropogenic_shipping_activity_in_seawater;t_nh4_atmos
mole_concentration_of_nitrate_from_anthropogenic_shipping_activity_in_seawater;t_no3_atmos
mole_concentration_of_diatoms_expressed_as_nitrogen_from_anthropogenic_shipping_activity_in_seawater;t_lpp_atmos
mole_concentration_of_flagellates_expressed_as_nitrogen_from_anthropogenic_shipping_activity_in_seawater;t_spp_atmos
mole_concentration_of_cyanobacteria_expressed_as_nitrogen_from_anthropogenic_shipping_activity_in_seawater;t_cya_atmos
mole_concentration_of_zooplankton_expressed_as_nitrogen_from_anthropogenic_shipping_activity_in_seawater;t_zoo_atmos
mole_concentration_of_protozooplankton_expressed_as_nitrogen_from_anthropogenic_shipping_activity_in_seawater;t_pzoo_atmos
mole_concentration_of_detritus_expressed_as_nitrogen_from_anthropogenic_shipping_activity_in_seawater;t_det_1_atmos
mole_concentration_of_labile_dissolved_organic_nitrogen_from_anthropogenic_shipping_activity_expressed_as_nitrogen_in_se;t_don_atmos
mole_concentration_of_ammonium_from_riverine_inflow_in_seawater;t_nh4_river
mole_concentration_of_nitrate_from_riverine_inflow_in_seawater;t_no3_river
mole_concentration_of_diatoms_expressed_as_nitrogen_from_riverine_inflow_in_seawater;t_lpp_river
mole_concentration_of_flagellates_expressed_as_nitrogen_from_riverine_inflow_in_seawater;t_spp_river
mole_concentration_of_cyanobacteria_expressed_as_nitrogen_from_riverine_inflow_in_seawater;t_cya_river
mole_concentration_of_zooplankton_expressed_as_nitrogen_from_riverine_inflow_in_seawater;t_zoo_river
mole_concentration_of_protozooplankton_expressed_as_nitrogen_from_riverine_inflow_in_seawater;t_pzoo_river
mole_concentration_of_detritus_expressed_as_nitrogen_from_riverine_inflow_in_seawater;t_det_1_river
mole_concentration_of_labile_dissolved_organic_nitrogen_from_riverine_inflow_expressed_as_nitrogen_in_seawater;t_don_river
salt;salt
temp;pot_temp
uvel;u
vvel;v
mass_concentration_of_chlorophyll_in_seawater;d_chl
secchi_depth_of_sea_water;d_secchi
mole_concentration_of_nitrogen_in_the_sediment;s_tn
mole_concentration_of_silicate_in_the_sediment;s_sil
mole_concentration_of_nitrogen_from_anthropogenic_shipping_activity_in_the_sediment;s_tn_atmos
mole_concentration_of_nitrogen_from_riverine_inflow_in_the_sediment;s_tn_river
